genre,tracks_in_catalogue,tracks_ever_sold,never_sold_pct
Rock,1297,745,42.6
Latin,579,340,41.3
Metal,374,231,38.2
Alternative & Punk,332,203,38.9
Jazz,130,68,47.7
TV Shows,93,43,53.8
Blues,81,53,34.6
Classical,74,36,51.4
Drama,64,27,57.8
R&B/Soul,61,37,39.3
Reggae,58,28,51.7
Pop,48,26,45.8
Soundtrack,43,19,55.8
Alternative,40,14,65.0
Hip Hop/Rap,35,15,57.1
Electronica/Dance,30,11,63.3
Heavy Metal,28,12,57.1
World,28,13,53.6
Sci Fi & Fantasy,26,20,23.1
Easy Listening,24,10,58.3
Comedy,17,8,52.9
Bossa Nova,15,14,6.7
Science Fiction,13,5,61.5
Rock And Roll,12,6,50.0
Opera,1,0,100.0
