month,invoices,revenue,moving_avg_3m
2021-01,6,35.64,35.64
2021-02,7,37.62,36.63
2021-03,7,37.62,36.96
2021-04,7,37.62,37.62
2021-05,7,37.62,37.62
2021-06,7,37.62,37.62
2021-07,7,37.62,37.62
2021-08,7,37.62,37.62
2021-09,7,37.62,37.62
2021-10,7,37.62,37.62
2021-11,7,37.62,37.62
2021-12,7,37.62,37.62
2022-01,7,52.62,42.62
2022-02,7,46.62,45.62
2022-03,7,44.62,47.95
2022-04,7,37.62,42.95
2022-05,7,37.62,39.95
2022-06,7,37.62,37.62
2022-07,7,37.62,37.62
2022-08,7,37.62,37.62
2022-09,6,36.63,37.29
2022-10,7,37.62,37.29
2022-11,7,37.62,37.29
2022-12,7,37.62,37.62
2023-01,7,37.62,37.62
2023-02,7,37.62,37.62
2023-03,7,37.62,37.62
2023-04,7,51.62,42.29
2023-05,7,42.62,43.95
2023-06,7,50.62,48.29
2023-07,7,37.62,43.62
2023-08,7,37.62,41.95
2023-09,7,37.62,37.62
2023-10,7,37.62,37.62
2023-11,6,23.76,33.0
2023-12,7,37.62,33.0
2024-01,7,37.62,33.0
2024-02,7,37.62,37.62
2024-03,7,37.62,37.62
2024-04,7,37.62,37.62
2024-05,7,37.62,37.62
2024-06,7,37.62,37.62
2024-07,7,39.62,38.29
2024-08,7,47.62,41.62
2024-09,6,46.71,44.65
2024-10,7,42.62,45.65
2024-11,7,37.62,42.32
2024-12,7,37.62,39.29
2025-01,7,37.62,37.62
2025-02,5,27.72,34.32
2025-03,7,37.62,34.32
2025-04,5,33.66,33.0
2025-05,7,37.62,36.3
2025-06,7,37.62,36.3
2025-07,7,37.62,37.62
2025-08,7,37.62,37.62
2025-09,7,37.62,37.62
2025-10,7,37.62,37.62
2025-11,7,49.62,41.62
2025-12,7,38.62,41.95
