country,customers,invoices,revenue,revenue_per_customer,share_pct
USA,13,91,523.06,40.24,22.46
Canada,8,56,303.96,37.99,13.05
France,5,35,195.1,39.02,8.38
Brazil,5,35,190.1,38.02,8.16
Germany,4,28,156.48,39.12,6.72
United Kingdom,3,21,112.86,37.62,4.85
Czech Republic,2,14,90.24,45.12,3.88
Portugal,2,14,77.24,38.62,3.32
India,2,13,75.26,37.63,3.23
Chile,1,7,46.62,46.62,2.0
Hungary,1,7,45.62,45.62,1.96
Ireland,1,7,45.62,45.62,1.96
Austria,1,7,42.62,42.62,1.83
Finland,1,7,41.62,41.62,1.79
Netherlands,1,7,40.62,40.62,1.74
Norway,1,7,39.62,39.62,1.7
Sweden,1,7,38.62,38.62,1.66
Argentina,1,7,37.62,37.62,1.62
Australia,1,7,37.62,37.62,1.62
Belgium,1,7,37.62,37.62,1.62
Denmark,1,7,37.62,37.62,1.62
Italy,1,7,37.62,37.62,1.62
Poland,1,7,37.62,37.62,1.62
Spain,1,7,37.62,37.62,1.62
