CustomerId,recency_days,frequency,monetary,r_score,f_score,m_score,total_score,segment
6,39,7,49.62,3,1,3,7,High value
46,48,7,45.62,3,1,3,7,High value
25,17,7,42.62,3,1,3,7,High value
44,8,7,41.62,3,1,3,7,High value
45,155,7,45.62,2,1,3,6,Middle
24,124,7,43.62,2,1,3,6,Middle
28,217,7,43.62,2,1,3,6,Middle
37,202,7,43.62,2,1,3,6,Middle
7,186,7,42.62,2,1,3,6,Middle
5,230,7,40.62,2,1,3,6,Middle
43,199,7,40.62,2,1,3,6,Middle
48,101,7,40.62,2,1,3,6,Middle
3,93,7,39.62,3,1,2,6,Middle
4,80,7,39.62,3,1,2,6,Middle
20,31,7,39.62,3,1,2,6,Middle
42,49,7,39.62,3,1,2,6,Middle
58,0,7,38.62,3,1,2,6,Middle
26,261,7,47.62,1,1,3,5,Middle
57,434,7,46.62,1,1,3,5,Middle
1,137,7,39.62,2,1,2,5,Middle
22,168,7,39.62,2,1,2,5,Middle
39,106,7,38.62,2,1,2,5,Middle
8,79,7,37.62,3,1,1,5,Middle
12,78,7,37.62,3,1,1,5,Middle
18,75,7,37.62,3,1,1,5,Middle
21,18,7,37.62,3,1,1,5,Middle
23,18,7,37.62,3,1,1,5,Middle
27,70,7,37.62,3,1,1,5,Middle
29,16,7,37.62,3,1,1,5,Middle
35,13,7,37.62,3,1,1,5,Middle
41,62,7,37.62,3,1,1,5,Middle
50,47,7,37.62,3,1,1,5,Middle
56,44,7,37.62,3,1,1,5,Middle
17,509,7,39.62,1,1,2,4,Low value
34,447,7,39.62,1,1,2,4,Low value
15,372,7,38.62,1,1,2,4,Low value
19,465,7,38.62,1,1,2,4,Low value
40,496,7,38.62,1,1,2,4,Low value
51,385,7,38.62,1,1,2,4,Low value
10,132,7,37.62,2,1,1,4,Low value
14,225,7,37.62,2,1,1,4,Low value
16,171,7,37.62,2,1,1,4,Low value
31,163,7,37.62,2,1,1,4,Low value
33,109,7,37.62,2,1,1,4,Low value
49,248,7,37.62,2,1,1,4,Low value
52,194,7,37.62,2,1,1,4,Low value
54,140,7,37.62,2,1,1,4,Low value
2,527,7,37.62,1,1,1,3,Low value
9,323,7,37.62,1,1,1,3,Low value
11,279,7,37.62,1,1,1,3,Low value
13,416,7,37.62,1,1,1,3,Low value
30,354,7,37.62,1,1,1,3,Low value
32,310,7,37.62,1,1,1,3,Low value
36,403,7,37.62,1,1,1,3,Low value
38,540,7,37.62,1,1,1,3,Low value
47,292,7,37.62,1,1,1,3,Low value
53,341,7,37.62,1,1,1,3,Low value
55,478,7,37.62,1,1,1,3,Low value
59,571,6,36.64,1,1,1,3,Low value
